,Référence Chantier,Code postal arrondissement - Commune,Date début du chantier,Date fin du chantier,Responsable du chantier,Maîtrise d'ouvrage principale,Surface (m2),Synthèse - Nature du chantier,Encombrement espace public,Impact stationnement,Identifiant demande CITE,Identifiant Chantier CITE,geo_shape,geo_point_2d,forme_geo
0,EC262569,75008,2022-02-28,2024-04-30,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,144.42,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,534314,172512,"{""coordinates"": [[[2.3002816159215382, 48.871758147773434], [2.300309750724866, 48.87179633469869], [2.3005787134116167, 48.871712298964724], [2.300644574378768, 48.87163982523727], [2.3005847491532596, 48.87162262737216], [2.3005802597248572, 48.87162282867354], [2.300579850624866, 48.871627608095], [2.300583979882582, 48.871628542359254], [2.3005811612698728, 48.87163285173402], [2.3005735375305685, 48.87163508432558], [2.3005666477534694, 48.871634133031016], [2.3005313345497145, 48.87166785173182], [2.3005371132129113, 48.871674488483315], [2.300534297649081, 48.87167857034066], [2.3005297868168566, 48.87168036515254], [2.300527404811675, 48.871677846560075], [2.3005204739114586, 48.87167985566286], [2.3005225018541635, 48.871683054788505], [2.300498237105654, 48.87169088207671], [2.3004968836797794, 48.87168882456259], [2.3002816159215382, 48.871758147773434]]], ""type"": ""Polygon""}","48.87171473163943, 2.300472796020154",autre
1,EC267934,75015,2022-06-06,2023-09-30,Opérateurs de réseau (gaz-électricité-RATP-etc),CPCU,94.88,Travaux sur réseau de chauffage urbain,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,577778,178217,"{""coordinates"": [[[2.292899247699561, 48.85604582207202], [2.292832881688236, 48.856054537672755], [2.292836175279878, 48.85611694286094], [2.2929415684261523, 48.85618177258164], [2.2929562075829053, 48.856170930091885], [2.2929627145365266, 48.85614911055964], [2.292966517374651, 48.85612317757684], [2.292948996046334, 48.85609210827453], [2.29292384195067, 48.85606418208854], [2.292899247699561, 48.85604582207202]]], ""type"": ""Polygon""}","48.85610765531542, 2.2929003924589715",décagone
2,EC268310,75006,2022-04-01,2023-05-15,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,164.77,Construction ou réhabilitation d'immeuble,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR","STATIONNEMENT_PAYANT,ZONE_LIVRAISON",569382,176946,"{""coordinates"": [[[2.32580213112853, 48.847082054127924], [2.3258313289428196, 48.84709178067241], [2.3258854405654565, 48.84709572889402], [2.3260446291161707, 48.84691379366707], [2.3259970257770695, 48.84683936324406], [2.3259799862696706, 48.84683666719345], [2.325992761435985, 48.84686447907339], [2.32580213112853, 48.847082054127924]]], ""type"": ""Polygon""}","48.846983726393866, 2.3259329706698515",octogone
3,EC268626,,2022-02-14,2023-06-16,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,0.96,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,579401,178537,"{""coordinates"": [[[2.384292595886623, 48.82593388960969], [2.3843042619107133, 48.8259373987675], [2.3843119372095196, 48.82592992492162], [2.3842995833288367, 48.82592618378234], [2.384292595886623, 48.82593388960969]]], ""type"": ""Polygon""}","48.825931811335515, 2.384302128015279",pentagone
4,EC286541,75005,2022-12-19,2023-05-12,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,7.18,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,655170,189925,"{""coordinates"": [[[2.344365865727618, 48.84455770410638], [2.3444995891722855, 48.844530924516114], [2.3444962146022417, 48.84452502420067], [2.3443624898084323, 48.84455180377987], [2.344365865727618, 48.84455770410638]]], ""type"": ""Polygon""}","48.84454136424176, 2.3444310393485357",pentagone
5,EC270029,75015,2022-07-11,2023-05-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,52.98,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,573372,177549,"{""coordinates"": [[[2.285848979153801, 48.84960028809588], [2.2859030374935685, 48.84958285192623], [2.2859405912870394, 48.849511126989526], [2.2859157155699066, 48.849513710789964], [2.2859070087131244, 48.84949453296119], [2.28592991927896, 48.84948419571361], [2.2858427857513375, 48.84939761015703], [2.2858005868819045, 48.84940555506267], [2.2859027317308533, 48.84950452544326], [2.285892738119143, 48.849579147133035], [2.285848979153801, 48.84960028809588]]], ""type"": ""Polygon""}","48.84947676916043, 2.285880174879612",hendécagone
6,EC270059,75017,2022-04-15,2023-08-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,477.67,Construction ou réhabilitation d'immeuble,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",STATIONNEMENT_PAYANT,586631,179508,"{""coordinates"": [[[2.3176279610754227, 48.894095555727844], [2.3177191456696313, 48.894070170257685], [2.3173523151781454, 48.89358237000057], [2.3172415123694674, 48.89360602366398], [2.3176279610754227, 48.894095555727844]]], ""type"": ""Polygon""}","48.893832342701046, 2.317480352920456",pentagone
7,EC271175,75016,2022-03-28,2023-03-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,24.93,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,591413,180154,"{""coordinates"": [[[2.2856028426592063, 48.86896338676491], [2.2856247603691506, 48.86887517735538], [2.285591692810022, 48.86887042568982], [2.2855690790374905, 48.86895908690853], [2.2856028426592063, 48.86896338676491]]], ""type"": ""Polygon""}","48.86891714111743, 2.2855970458232235",pentagone
8,EC271252,75020,2022-10-17,2023-06-02,Opérateurs de réseau (gaz-électricité-RATP-etc),GRDF,49.45,Travaux sur réseau de gaz,EMPRISE_TROTTOIR,,591906,180209,"{""coordinates"": [[[2.400828314366371, 48.87108607948282], [2.400854568249892, 48.87109490387228], [2.4009839402421607, 48.87091128031473], [2.400955758222146, 48.87090332944927], [2.400828314366371, 48.87108607948282]]], ""type"": ""Polygon""}","48.87099829598522, 2.400906085631557",pentagone
9,EC272209,75011,2022-05-16,2026-01-15,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,193.49,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,594160,180609,"{""coordinates"": [[[2.386189288053019, 48.858761846176996], [2.3862126687031298, 48.85872597695901], [2.3862413613288385, 48.858707770263045], [2.3862765026243022, 48.85870445383476], [2.386493059087902, 48.858761938892236], [2.386528148958238, 48.85870661832504], [2.386366971715866, 48.858664080259224], [2.386315364509198, 48.85865129311558], [2.386295124907654, 48.85864117060078], [2.386282551724841, 48.858624713732176], [2.38624128369553, 48.85861288971893], [2.386150396117552, 48.85875345003937], [2.386189288053019, 48.858761846176996]]], ""type"": ""Polygon""}","48.858696213029525, 2.386333279410536",autre
10,EC274486,75015,2022-06-30,2023-12-20,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,20.34,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,570594,177154,"{""coordinates"": [[[2.281086318185812, 48.84278705690484], [2.281001180253501, 48.84268965706697], [2.2809918044298283, 48.84270950376029], [2.281064596314326, 48.84279443699691], [2.281086318185812, 48.84278705690484]]], ""type"": ""Polygon""}","48.84274542910289, 2.2810365355095246",pentagone
11,EC277341,75018,2022-06-13,2023-03-31,Opérateurs de réseau (gaz-électricité-RATP-etc),GRDF,193.72,Travaux sur réseau de gaz,EMPRISE_TROTTOIR,,615783,184065,"{""coordinates"": [[[2.355977810669476, 48.88865464050717], [2.3560220063146486, 48.88865442314919], [2.3560884991135524, 48.88835880125233], [2.356065288168538, 48.8883372742944], [2.356126901085415, 48.88804526921709], [2.3561188632095433, 48.88802518992805], [2.3560866854841906, 48.88805871280645], [2.3560976043780495, 48.888069245065594], [2.356033834009513, 48.88836806979169], [2.3559839037205332, 48.88860868271169], [2.355958187625518, 48.88862220513759], [2.355977810669476, 48.88865464050717]]], ""type"": ""Polygon""}","48.88839826449775, 2.3560479449520817",dodécagone
12,EC279099,75011,2022-05-16,2023-03-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,11.69,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,STATIONNEMENT_PAYANT,623572,185191,"{""coordinates"": [[[2.382683924257412, 48.861326297319614], [2.382659273356703, 48.86136806432607], [2.382690927905184, 48.861375968271425], [2.3827121317682516, 48.86133372930971], [2.382683924257412, 48.861326297319614]]], ""type"": ""Polygon""}","48.86135138940459, 2.382686335432889",pentagone
13,EC279106,75010,2022-05-15,2023-05-15,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,500.66,Construction ou réhabilitation d'immeuble,EMPRISE_CHAUSSEE,,584726,179339,"{""coordinates"": [[[2.3615319468819957, 48.877322325772354], [2.36156706338956, 48.8773684627], [2.3624005588981767, 48.87701539285744], [2.3623384373058487, 48.87695454311222], [2.3615319468819957, 48.877322325772354]]], ""type"": ""Polygon""}","48.87715456896232, 2.3619838135529987",pentagone
14,EC281536,75015,2022-06-07,2024-04-05,Opérateurs de réseau (gaz-électricité-RATP-etc),SPL PARISEINE,14.53,,EMPRISE_TROTTOIR,,603894,182940,"{""coordinates"": [[[2.292852001953231, 48.85615577980685], [2.2937491756469193, 48.855612491048305], [2.293742680518199, 48.85561245271259], [2.292852001953231, 48.85615577980685]]], ""type"": ""Polygon""}","48.85579357452258, 2.2934479527061162",quadrilatère
15,EC281605,75008,2022-07-04,2023-03-31,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,14.15,Construction ou réhabilitation d'immeuble,EMPRISE_TROTTOIR,,633752,186881,"{""coordinates"": [[[2.2984472154848237, 48.87168969314131], [2.298535107801146, 48.871749860845], [2.298528592040872, 48.87177236292116], [2.29854478243386, 48.87177473494061], [2.298552404758906, 48.87174700246773], [2.2984573224114953, 48.87168246679106], [2.2984472154848237, 48.87168969314131]]], ""type"": ""Polygon""}","48.871727949273534, 2.2985085495175683",heptagone
16,EC282397,75008,2022-10-17,2023-06-30,Opérateurs de réseau (gaz-électricité-RATP-etc),ENEDIS,13.95,Travaux sur réseau électrique,EMPRISE_CHAUSSEE,,638636,187473,"{""coordinates"": [[[2.3078773560871144, 48.86493371048638], [2.3079739638703543, 48.86493517927479], [2.3079748908359523, 48.864917425196175], [2.307873783832019, 48.864916840529965], [2.3078773560871144, 48.86493371048638]]], ""type"": ""Polygon""}","48.86492572677828, 2.3079254368681195",pentagone
17,EC284187,75018,2022-06-20,2024-02-29,Tiers (travaux sur bâtiment),Propriétés - Co-propriétés publiques et privées,142.43,Construction ou réhabilitation d'immeuble,"EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR",,633357,186616,"{""coordinates"": [[[2.3449313741811224, 48.89007108079472], [2.344948082505614, 48.89012352457952], [2.345207602634837, 48.890102857494234], [2.3452139539627583, 48.89009103103403], [2.345299643560255, 48.89008332022235], [2.345291428753667, 48.89004605586103], [2.3449313741811224, 48.89007108079472]]], ""type"": ""Polygon""}","48.89008353957416, 2.345107689924212",heptagone
